step,ort_ref_loss,gvsoc_loss,abs_diff
195,0.026547,0.026546,1e-06
196,0.034031,0.03403,1e-06
197,0.06952,0.06952,0.0
198,2.420776,2.420777,1e-06
199,0.014321,0.014321,0.0
200,0.620445,0.620444,1e-06
201,0.015466,0.015466,0.0
202,0.051572,0.051572,0.0
203,0.020852,0.020852,0.0
204,0.793994,0.793994,0.0
205,0.013185,0.013185,0.0
206,0.178456,0.178456,0.0
207,0.000562,0.000562,0.0
208,3.48311,3.483112,2e-06
209,0.002819,0.002819,0.0
210,0.00021,0.00021,0.0
211,1.226027,1.226026,1e-06
212,0.004249,0.004249,0.0
213,0.001937,0.001937,0.0
214,0.829774,0.829775,1e-06
215,0.678201,0.6782,1e-06
216,0.266979,0.266978,1e-06
217,1.369766,1.369767,1e-06
218,0.014251,0.014251,0.0
219,1.449768,1.449768,0.0
220,0.032722,0.032722,0.0
221,0.001808,0.001808,0.0
222,0.000934,0.000934,0.0
223,0.254673,0.254673,0.0
224,0.000755,0.000755,0.0
225,0.007099,0.007099,0.0
226,0.914976,0.914976,0.0
227,0.006128,0.006128,0.0
228,0.370257,0.370257,0.0
229,0.031975,0.031975,0.0
230,0.025312,0.025312,0.0
231,0.004678,0.004678,0.0
232,0.000311,0.000311,0.0
233,0.015327,0.015327,0.0
234,0.022009,0.022009,0.0
235,0.009502,0.009502,0.0
236,0.011939,0.011939,0.0
237,0.705319,0.70532,1e-06
238,0.014984,0.014985,1e-06
239,0.068504,0.068504,0.0
240,0.237822,0.237822,0.0
241,0.067115,0.067114,1e-06
242,0.001897,0.001897,0.0
243,0.229418,0.229417,1e-06
244,0.305935,0.305935,0.0
245,0.031997,0.031997,0.0
246,0.169284,0.169284,0.0
247,0.017565,0.017565,0.0
248,0.072241,0.072241,0.0
249,0.025594,0.025594,0.0
250,0.025162,0.025162,0.0
251,0.067115,0.067116,1e-06
252,2.194679,2.19468,1e-06
253,0.014617,0.014617,0.0
254,0.628677,0.628677,0.0
255,0.015444,0.015444,0.0
256,0.060351,0.060351,0.0
257,0.022403,0.022402,1e-06
258,0.798129,0.79813,1e-06
259,0.013432,0.013432,0.0
260,0.186284,0.186285,1e-06
261,0.000692,0.000692,0.0
262,3.173532,3.173533,1e-06
263,0.002988,0.002988,0.0
264,0.000211,0.000212,1e-06
265,0.915845,0.915845,0.0
266,0.004301,0.004301,0.0
267,0.00202,0.00202,0.0
268,0.726797,0.726798,1e-06
269,0.66001,0.66001,0.0
270,0.269779,0.26978,1e-06
271,1.238219,1.238219,0.0
272,0.014962,0.014962,0.0
273,1.384239,1.384239,0.0
274,0.030712,0.030712,0.0
275,0.001321,0.001321,0.0
276,0.001102,0.001101,1e-06
277,0.258785,0.258785,0.0
278,0.000805,0.000805,0.0
279,0.009147,0.009147,0.0
280,0.858481,0.858481,0.0
281,0.005411,0.005411,0.0
282,0.322391,0.322392,1e-06
283,0.033027,0.033027,0.0
284,0.027073,0.027072,1e-06
285,0.005991,0.005991,0.0
286,0.000336,0.000336,0.0
287,0.015627,0.015627,0.0
288,0.021664,0.021664,0.0
289,0.011174,0.011174,0.0
